occ_group,occ,No qualification,Cert III/IV,Dip/Ad-dip,Bachelor
Professionals,Photographers,1395.8,519.9,1087.9,1935.7
Professionals,Physiotherapists,76.9,5.7,75.2,9804.7
Professionals,Podiatrists,17.4,0.9,79.7,1733.7
Professionals,Primary School Teachers,653.6,120.3,1697.5,62532.5
Professionals,Private Tutors and Teachers,1346.8,586.7,1182.1,5317.2
Professionals,"Professionals, nfd",1454.7,584.2,950.3,13355.6
Professionals,Psychiatrists,2.6,0.8,3.6,842.6
Professionals,Psychologists,59.4,6.300000000000001,66.6,8513.1
Professionals,Public Relations Professionals,757.3,256,473.3,6012
Professionals,Registered Nurses,2310.7000000000003,2518.2,7230.4000000000005,65546.4
Professionals,"Sales, Marketing and Public Relations Professionals, nfd",78.5,34,69.9,553.3
Professionals,"School Teachers, nfd",262.7,114.1,311.1,5308.8
Professionals,Secondary School Teachers,546.3,87.5,850.8,53421.6
Professionals,"Social and Welfare Professionals, nfd",27.5,27.1,31.7,213.6
Professionals,Social Professionals,271,123.9,308.90000000000003,1852.2
Professionals,Social Workers,326.3,249,639.1,7498
Professionals,Software and Applications Programmers,3234.2000000000003,771.2,1961.3,36527.6
Professionals,Solicitors,349.3,14.5,123.9,25584.3
Professionals,Special Education Teachers,172.5,100.1,214.8,6276.3
Professionals,Specialist Physicians,21.5,0.8,6.6000000000000005,2604.4
Professionals,Surgeons,23.8,4.5,9.9,2092.8
Professionals,Surveyors and Spatial Scientists,489.1,340.9,1056.9,2859
Professionals,Teachers of English to Speakers of Other Languages,34.4,12,43,1781.9
Professionals,Technical Sales Representatives,3326.6,2127,1287.6,4563.6
Professionals,Telecommunications Engineering Professionals,366.6,332.7,450.5,3114.3
Professionals,"Tertiary Education Teachers, nfd",7.5,17.5,35.9,242
Professionals,Training and Development Professionals,1189.6,1487.5,1230.3,2864.7
Professionals,University Lecturers and Tutors,184,36.8,87.8,11022.5
Professionals,Urban and Regional Planners,200.3,105,189,4544.3
Professionals,Veterinarians,60.1,38.1,40.3,3728.1
Professionals,Visual Arts and Crafts Professionals,435.1,187.8,223.9,676.9
Professionals,Vocational Education Teachers (Aus) / Polytechnic Teachers (NZ),463.7,1716.8,1907,3739.6
Professionals,"Welfare, Recreation and Community Arts Workers",662.2,729.8000000000001,1340,5205.9
Sales Workers,"Auctioneers, and Stock and Station Agents",435.8,195.3,115.8,124.8
Sales Workers,Checkout Operators and Office Cashiers,9708.2,2300.1,1487.3,3777.1
